iter	Passed	Remaining
0	0	46
1	0	44
2	1	42
3	1	45
4	2	50
5	3	48
6	3	49
7	4	47
8	4	46
9	5	48
10	5	47
11	6	46
12	6	44
13	7	45
14	8	45
15	9	49
16	9	48
17	10	47
18	10	46
19	11	46
20	12	45
21	12	45
22	13	44
23	13	43
24	14	43
25	15	43
26	15	42
27	16	41
28	16	41
29	17	40
30	17	39
31	18	38
32	18	38
33	19	37
34	19	36
35	20	35
36	20	35
37	21	34
38	21	34
39	22	33
40	23	33
41	23	32
42	23	31
43	24	31
44	25	30
45	25	29
46	25	29
47	26	28
48	27	28
49	27	27
50	28	27
51	28	26
52	29	26
53	29	25
54	30	25
55	31	24
56	31	23
57	32	23
58	32	22
59	33	22
60	33	21
61	34	21
62	35	20
63	35	20
64	36	19
65	36	18
66	37	18
67	37	17
68	38	17
69	38	16
70	39	16
71	39	15
72	40	14
73	40	14
74	41	13
75	41	13
76	42	12
77	43	12
78	43	11
79	44	11
80	44	10
81	45	9
82	45	9
83	52	10
84	53	9
85	54	8
86	54	8
87	55	7
88	56	6
89	57	6
90	57	5
91	58	5
92	59	4
93	59	3
94	60	3
95	60	2
96	61	1
97	61	1
98	62	0
99	64	0
